step,price,value,order_ftrader_sum,order_ttrader_sum,order_mtrader_sum,order_ntrader_sum,order_all_sum,order_ftrader_mean,order_ttrader_mean,order_mtrader_mean,order_ntrader_mean,order_all_mean,order_ftrader_median,order_ttrader_median,order_mtrader_median,order_ntrader_median,order_all_median,order_ftrader_std,order_ttrader_std,order_mtrader_std,order_ntrader_std,order_all_std,position_ftrader_sum,position_ttrader_sum,position_mtrader_sum,position_ntrader_sum,position_all_sum,position_ftrader_mean,position_ttrader_mean,position_mtrader_mean,position_ntrader_mean,position_all_mean,position_ftrader_median,position_ttrader_median,position_mtrader_median,position_ntrader_median,position_all_median,position_ftrader_std,position_ttrader_std,position_mtrader_std,position_ntrader_std,position_all_std,wealth_ftrader_sum,wealth_ttrader_sum,wealth_mtrader_sum,wealth_ntrader_sum,wealth_all_sum,wealth_ftrader_mean,wealth_ttrader_mean,wealth_mtrader_mean,wealth_ntrader_mean,wealth_all_mean,wealth_ftrader_median,wealth_ttrader_median,wealth_mtrader_median,wealth_ntrader_median,wealth_all_median,wealth_ftrader_std,wealth_ttrader_std,wealth_mtrader_std,wealth_ntrader_std,wealth_all_std,cash_ftrader_sum,cash_ttrader_sum,cash_mtrader_sum,cash_ntrader_sum,cash_all_sum,cash_ftrader_mean,cash_ttrader_mean,cash_mtrader_mean,cash_ntrader_mean,cash_all_mean,cash_ftrader_median,cash_ttrader_median,cash_mtrader_median,cash_ntrader_median,cash_all_median,cash_ftrader_std,cash_ttrader_std,cash_mtrader_std,cash_ntrader_std,cash_all_std,portfolio_ftrader_sum,portfolio_ttrader_sum,portfolio_mtrader_sum,portfolio_ntrader_sum,portfolio_all_sum,portfolio_ftrader_mean,portfolio_ttrader_mean,portfolio_mtrader_mean,portfolio_ntrader_mean,portfolio_all_mean,portfolio_ftrader_median,portfolio_ttrader_median,portfolio_mtrader_median,portfolio_ntrader_median,portfolio_all_median,portfolio_ftrader_std,portfolio_ttrader_std,portfolio_mtrader_std,portfolio_ntrader_std,portfolio_all_std
1,100.0,100.38396075197967,305.66821375359893,0.0,0.0,41.10683955444376,346.77505330804274,-0.07270163617291402,0.0,0.0,0.15252157317389967,0.019954984250246412,0.0,0.0,0.0,0.0,0.0,0.042529372057756004,0.0,0.0,0.0071590283857709495,0.005374587963697596,305.66821375359893,0.0,0.0,41.10683955444376,346.77505330804274,0.07270163617291402,0.0,0.0,0.15252157317389967,0.056305802336703424,0.0,0.0,0.0,0.0,0.0,0.042529372057756004,0.0,0.0,0.0071590283857709495,0.005372971847019974,744349.0559246666,385263.2126296227,448972.4852580842,597307.3076047413,2175892.061417115,7443.490559246665,3852.6321262962265,4489.724852580842,5973.073076047413,5439.730153542787,1645.1677661469766,1602.9226763043991,1615.2931338424273,1564.5100646489186,1594.5397034983384,414.0515003709373,104.37936867621363,105.99775994421526,249.400463172648,63.07495014997205,743622.0395629373,385263.2126296227,448972.4852580842,595782.0918730022,2173639.829323646,7436.220395629373,3852.6321262962265,4489.724852580842,5957.820918730024,5434.099573309116,1619.318218352435,1602.9226763043991,1615.2931338424273,1564.5100646489186,1594.5397034983384,413.41036550426253,104.37936867621363,105.99775994421526,249.38953588899415,63.008467478909935,727.0163617291399,0.0,0.0,1525.2157317389967,2252.2320934681375,7.270163617291402,0.0,0.0,15.252157317389967,5.630580233670342,0.0,0.0,0.0,0.0,0.0,4.2529372057756,0.0,0.0,0.7159028385770949,0.5372971847019975
2,100.65840603067042,100.61494838735717,305.66821375359893,0.0,0.0,48.61659815348383,354.28481190708277,0.07270163617291402,0.0,0.0,-0.16772004652481828,-0.023754602587976063,0.0,0.0,0.0,0.0,0.0,0.042529372057756004,0.0,0.0,0.007504397399056759,0.005382500704274156,313.37899082622954,0.0,0.0,71.17912738447407,384.55811821070364,-0.2844646847560566,0.0,0.0,-0.015198473350918607,-0.07491578952674378,0.0,0.0,0.0,0.0,0.0,0.042796972583961444,0.0,0.0,0.009926026629137129,0.005479335700952556,740026.8603076827,385263.2126296227,448972.4852580842,597317.3497170998,2171579.907912489,7400.268603076825,3852.6321262962265,4489.724852580842,5973.173497170998,5428.949769781223,1597.8065911632489,1602.9226763043991,1615.2931338424273,1564.5100646489186,1593.8712320282245,413.40107104268674,104.37936867621363,105.99775994421526,249.40054192660358,63.006625448730325,742890.2364816387,385263.2126296227,448972.4852580842,597470.3351272602,2174596.2694966067,7428.902364816387,3852.6321262962265,4489.724852580842,5974.703351272601,5436.490673741514,1593.7469710761534,1602.9226763043991,1615.2931338424273,1564.5100646489186,1585.080908930007,412.8082553847006,104.37936867621363,105.99775994421526,249.58504732445613,62.95909394377178,-2863.376173956179,0.0,0.0,-152.98541016030887,-3016.3615841164897,-28.633761739561802,0.0,0.0,-1.5298541016030889,-7.540903960291223,0.0,0.0,0.0,0.0,0.0,4.307875043239861,0.0,0.0,0.9991380187069319,0.5515411977648305
3,100.70080467690211,100.8287588443385,35.71663209289706,0.0,0.0,51.63938935886894,87.356021451766,-0.3571663209289706,0.0,0.0,-0.11187668007543602,-0.11726075025110165,-0.4274183952929178,0.0,0.0,0.0,0.0,0.005830127514573427,0.0,0.0,0.007912213948445306,0.0012771853663857754,314.1513820415681,0.0,0.0,92.93242988035495,407.08381192192314,-0.16235020648100373,0.0,0.0,-0.12707515342635464,-0.07235633997683959,0.0,0.0,0.0,0.0,0.0,0.0430327259400398,0.0,0.0,0.012426112183182196,0.005580800196793004,744852.0504305324,385263.2126296227,448972.4852580842,597317.2852776302,2176405.0335958702,7448.520504305324,3852.6321262962265,4489.724852580842,5973.172852776303,5441.012583989674,1631.9113859819538,1602.9226763043991,1615.2931338424273,1564.5100646489186,1602.37762471296,413.41899855853194,104.37936867621363,105.99775994421526,249.40046502509242,63.010831209385195,746486.9300737423,385263.2126296227,448972.4852580842,598596.9422980777,2179319.5702595282,7464.869300737422,3852.6321262962265,4489.724852580842,5985.969422980778,5448.298925648817,1637.0642900345597,1602.9226763043991,1615.2931338424273,1570.7359483811347,1595.9405629041205,412.8182649184975,104.37936867621363,105.99775994421526,249.71866070061097,62.97027139052191,-1634.879643209827,0.0,0.0,-1279.6570204474713,-2914.5366636572976,-16.348796432098283,0.0,0.0,-12.796570204474707,-7.286341659143247,0.0,0.0,0.0,0.0,0.0,4.333430129602607,0.0,0.0,1.251319495851904,0.5619910705580692
4,101.10985630781119,100.94906370290018,12.211447827505282,0.0,0.0,53.51728330482666,65.72873113233196,0.12211447827505281,0.0,0.0,0.15663621645804948,0.06968767368327558,0.0,0.0,0.0,0.0,0.0,0.003550931741235614,0.0,0.0,0.00797616375350604,0.0011015777992446876,317.7501990962127,0.0,0.0,111.605084661183,429.3552837573958,-0.38684424825476965,0.0,0.0,0.02956106303169487,-0.0893207963057687,0.0,0.0,0.0,0.04644218081049056,0.0,0.042760039011120285,0.0,0.0,0.014161040922208004,0.005625821308872105,741340.8557031385,385263.2126296227,448972.4852580842,597312.0872477546,2172888.6408386016,7413.408557031385,3852.6321262962265,4489.724852580842,5973.120872477546,5432.2216020965,1605.2715810384793,1602.9226763043991,1615.2931338424273,1564.7233324374397,1595.0773007826156,413.40238820018675,104.37936867621363,105.99775994421526,249.39918447385415,63.007321019336885,745252.2323385926,385263.2126296227,448972.4852580842,597013.1957642109,2176501.1259905105,7452.522323385928,3852.6321262962265,4489.724852580842,5970.131957642106,5441.252814976276,1628.3985782573814,1602.9226763043991,1615.2931338424273,1550.1006053055983,1592.0052037690962,412.8102540779009,104.37936867621363,105.99775994421526,249.64286385314657,62.96396741853048,-3911.376635454301,0.0,0.0,298.89148354408206,-3612.4851519102203,-39.113766354543,0.0,0.0,2.988914835440816,-9.031212879775547,0.0,0.0,0.0,4.695762228370087,0.0,4.323461400130773,0.0,0.0,1.4318208128134853,0.5688259841534807
5,101.95828349094073,101.20885875697522,22.449404177376593,0.0,0.0,55.1893877736622,77.63879195103881,-0.22449404177376592,0.0,0.0,-0.0519193612755334,-0.06910335076232484,0.0,0.0,0.0,0.0,0.0,0.005080770616248875,0.0,0.0,0.008365458986912867,0.001240479994840671,335.6354694647552,0.0,0.0,129.2601977715113,464.8956672362664,-0.8334281094418604,0.0,0.0,-0.022358298243838528,-0.21394660192142473,0.0,0.0,0.0,0.16126596532847914,0.0,0.042761530359788205,0.0,0.0,0.01675542051983361,0.00578894764189959,739043.6451087332,385263.2126296227,448972.4852580842,597314.5952886982,2170593.938285139,7390.436451087333,3852.6321262962265,4489.724852580842,5973.145952886985,5426.484845712846,1597.3907861910543,1602.9226763043991,1615.2931338424273,1565.6027268366788,1593.45542705603,413.39290374471545,104.37936867621363,105.99775994421526,249.39717349631982,63.00510632423063,747541.1350539124,385263.2126296227,448972.4852580842,597542.5566597707,2179319.3896013913,7475.411350539125,3852.6321262962265,4489.724852580842,5975.425566597704,5448.298474003474,1705.7361540312004,1602.9226763043991,1615.2931338424273,1562.6177703263734,1595.9405629041205,412.8211287837757,104.37936867621363,105.99775994421526,249.8216820681856,62.97728958448962,-8497.489945179195,0.0,0.0,-227.961371072029,-8725.451316251227,-84.97489945179198,0.0,0.0,-2.27961371072029,-21.813628290628067,0.0,0.0,0.0,16.442401010401294,0.0,4.359892234929755,0.0,0.0,1.7083539153711207,0.5902311647870113
6,101.50095814685295,101.13069189995277,47.316876821267584,0.0,9.316420656558638,51.61442387757564,108.24772135540185,-0.44658386118709076,0.0,-0.01545846272714188,-0.40795397041419185,-0.2174990735821061,-0.29431606452724424,0.0,0.0,0.0,0.0,0.008729796836993353,0.0,0.0035145549151053878,0.007428581896166857,0.0015830978995698055,322.5194545534605,0.0,9.316420656558638,139.02423843198153,470.86011364200044,-0.5392736238218354,0.0,-0.01545846272714188,-0.43031226865803035,-0.24626108880175193,0.0,0.0,0.0,-0.22670311390318038,0.0,0.04264561556892509,0.0,0.0035145549151053878,0.01830065642819652,0.00582700165487016,746600.3250821296,385263.2126296227,448972.4852580842,597315.6177903423,2178151.64076018,7466.0032508212935,3852.6321262962265,4489.724852580842,5973.156177903422,5445.379101900446,1652.7043755632194,1602.9226763043991,1615.2931338424273,1565.379808097934,1606.8580354394235,413.4324456361812,104.37936867621363,105.99775994421526,249.39905308071343,63.01298783460294,752074.0040342534,385263.2126296227,449129.3901359124,601683.328547456,2188149.935347247,7520.740040342535,3852.6321262962265,4491.293901359124,6016.833285474558,5470.374838368111,1765.482879126254,1602.9226763043991,1615.2931338424273,1653.7670239823517,1650.3110140287463,412.8474715663987,104.37936867621363,106.03352958705764,249.78939867292306,62.98172891050268,-5473.6789521241835,0.0,-156.90487782823146,-4367.710757113608,-9998.29458706602,-54.736789521241846,0.0,-1.5690487782823146,-43.677107571136084,-24.99573646766506,0.0,0.0,0.0,-23.010583276047946,0.0,4.328570841008247,0.0,0.35673069134292823,1.8575341621783101,0.591446251092619
7,101.66099690212125,100.77013914086172,32.073939264561005,0.0,9.907049814155796,41.30725193943071,83.28824101814747,0.29415448562002494,0.0,-0.05336085841180771,0.13351378329839622,0.09357685262665337,0.18957924353265554,0.0,0.0,0.0,0.0,0.007536367123308383,0.0,0.006777445645121696,0.006970018712405238,0.0015682869452581683,334.97344492310174,0.0,9.907049814155796,150.26794549757085,495.14844023482834,-0.900353038218221,0.0,-0.05336085841180771,-0.2967984853596341,-0.3126280954974157,0.0,0.0,0.0,-0.14232895628044417,0.0,0.04262874677575044,0.0,0.006777445645121696,0.019000386202339632,0.005940625728005843,739930.5214662056,385263.2126296227,449129.3901359124,597308.7311263571,2171631.8553580996,7399.305214662056,3852.6321262962265,4491.293901359124,5973.087311263569,5429.079638395244,1596.5801471650611,1602.9226763043991,1615.2931338424273,1565.3008935098865,1592.6447880300366,413.3901056867004,104.37936867621363,106.03352958705764,249.39844805615812,63.0062295899512,749083.6002091172,385263.2126296227,449671.8619420821,600326.014116427,2184344.6888972516,7490.836002091173,3852.6321262962265,4496.718619420822,6003.260141164269,5460.861722243123,1726.9372493472933,1602.9226763043991,1615.2931338424273,1659.9224415933936,1650.3110140287463,412.8311562036262,104.37936867621363,106.03331186885744,249.81722038228264,62.9799437397246,-9153.0787429118,0.0,-542.4718061697314,-3017.2829900700044,-12712.833539151537,-91.53078742911802,0.0,-5.424718061697315,-30.172829900700044,-31.782083847878845,0.0,0.0,0.0,-14.469303583508387,0.0,4.333680893910877,0.0,0.6890018807330119,1.9315982028551568,0.6039299337314639
8,101.06927191555754,100.4474984541848,38.483566087609006,0.0,17.913742139857405,51.97307955718173,108.37038778464816,-0.3610794143963855,0.0,0.08387270211091602,-0.1642265164228283,-0.11035830717707446,0.0,0.0,0.0,0.0,0.0,0.0078440286514294,0.0,0.009939039626036527,0.007966233848026562,0.0019108546946146276,329.82618897594546,0.0,17.913742139857405,170.3945550451423,518.1344861609451,-0.7380945752829625,0.0,0.08387270211091602,-0.4610250017824624,-0.2788117187386272,0.0,0.0,0.0,-0.4639861615429262,0.0,0.04266264150565427,0.0,0.009939039626036527,0.02053460054386315,0.006083292469890084,745273.1354279241,385263.2126296227,449671.8619420821,597326.2934343333,2177534.5034339637,7452.73135427924,3852.6321262962265,4496.718619420822,5973.262934343331,5443.8362585849045,1641.835728187366,1602.9226763043991,1615.2931338424273,1565.3810076332957,1606.7525288984016,413.4297435277479,104.37936867621363,106.03331186885744,249.40084429960163,63.01292170118299,752733.0035607911,385263.2126296227,448824.16664848797,601985.8395608354,2188806.22239974,7527.330035607912,3852.6321262962265,4488.241666484881,6019.858395608353,5472.015555999343,1779.5530546690102,1602.9226763043991,1578.8323899741813,1714.8848053191368,1666.1828142070635,412.8582002698627,104.37936867621363,106.06393156714293,249.80222229834573,62.9848541380712,-7459.868132867168,0.0,847.6952935940727,-4659.5461265022095,-11271.7189657753,-74.59868132867169,0.0,8.476952935940727,-46.59546126502209,-28.179297414438263,0.0,0.0,0.0,-46.894743526037814,0.0,4.311882114970923,0.0,1.004531498543387,2.07541712604506,0.6148339407811845
9,101.32459365095924,100.35885278108442,18.601470941496302,0.0,36.80045601640247,29.47308297454507,84.87500993244385,0.16225846293525847,0.0,0.06971626132904807,-0.13413557967796882,0.024459786146584426,0.0,0.0,0.0,0.0,0.0,0.004765420291274823,0.0,0.014268001286607181,0.005868456205654158,0.0020289082860697415,334.8236787058712,0.0,36.80045601640247,178.87039576274907,550.4945304850224,-0.9377945925258621,0.0,0.06971626132904807,-0.5951605814604313,-0.36580972816431134,0.0,0.0,0.0,-0.6380931119563734,0.0,0.042574697197978864,0.0,0.014268001286607181,0.021249304060657597,0.006274529937004749,741586.7606768819,385263.2126296227,448824.16664848797,597314.5224639813,2172988.6624189736,7415.867606768818,3852.6321262962265,4488.241666484881,5973.145224639812,5432.471656047434,1602.7322877031156,1602.9226763043991,1578.8323899741813,1565.4370352795668,1591.7274859581676,413.3927164319269,104.37936867621363,106.06393156714293,249.3998513883803,63.00826103213686,751088.9262784568,385263.2126296227,448117.76946348505,603344.9628713359,2187814.8712429022,7510.889262784568,3852.6321262962265,4481.177694634851,6033.449628713359,5469.537178107251,1752.2881973251274,1602.9226763043991,1560.4342980690826,1721.8519174278877,1659.9224415933936,412.8416977445907,104.37936867621363,106.08596842562251,249.78058258713364,62.98194489248356,-9502.165601574985,0.0,706.397185002988,-6030.440407354682,-14826.208823926683,-95.02165601574987,0.0,7.063971850029879,-60.30440407354683,-37.06552205981671,0.0,0.0,0.0,-64.65452528045557,0.0,4.3138638933978415,0.0,1.4456994325768364,2.153077099311809,0.6357641962177851
10,102.53947042150295,99.93815596725278,22.195860155029848,0.0,10.541173347195034,41.81746633483937,74.55449983706426,-0.19970001724289957,0.0,-0.05274669651866372,0.023293491305689702,-0.057288305613968395,0.0,0.0,0.0,0.0,0.0,0.0049069490054060695,0.0,0.005818701407924764,0.007107760145783477,0.0013149113592755795,382.3704359988531,0.0,10.541173347195034,198.91680485343412,591.8284141994822,-2.237573054698807,0.0,-0.05274669651866372,-0.5718670901547416,-0.7155467103430531,-1.290900718799044,0.0,0.0,-0.8934281555327444,0.0,0.042713511448620164,0.0,0.005818701407924764,0.02348058091362497,0.006520637344065928,730192.6840737581,385263.2126296227,448117.76946348505,597242.2177874657,2160815.8839543313,7301.926840737579,3852.6321262962265,4481.177694634851,5972.422177874653,5402.0397098858275,1513.0422042191099,1602.9226763043991,1560.4342980690826,1565.703627098927,1551.433520084,413.3713676821174,104.37936867621363,106.08596842562251,249.39539568446568,63.0010442370096,753136.6396795821,385263.2126296227,448658.6312962358,603106.1126450606,2190164.596250503,7531.36639679582,3852.6321262962265,4486.5863129623585,6031.061126450606,5475.411490626253,1786.6909194243099,1602.9226763043991,1574.3505910857602,1721.8519174278877,1669.0617989536938,412.863929247685,104.37936867621363,106.07312259096162,249.6868397125671,62.97898208307797,-22943.95560582403,0.0,-540.8618327507511,-5863.89485759531,-29348.712296170102,-229.43955605824033,0.0,-5.408618327507511,-58.63894857595309,-73.37178074042524,-132.36827607239147,0.0,0.0,-91.61164992798778,0.0,4.379820843784316,0.0,0.5966465609094591,2.4076863320723545,0.6686227000711957
